,job_description,size,activity,language,Machine Learning,Deep Learning,NLP,Business Intelligence,Data Analytics,Cloud Computing,Big Data Frameworks,Statistics,Time Series,Database Management,Data Extraction,Data Mining,Python/R,SQL,NoSQL,Java/JavaScript,C/C++,Scala,SAS,Recommendation Systems,MLOps,DevOps,Flask,Optimization
463," we are proud to belong to the top 1% of all employers in germany 2021 & 2022! our story at wooga, we are very proud of the diverse, creative and friendly environment we have established and we believe you will enjoy working with some of the best people in the industry. each of our woogas plays an important role in our success as a company and in shaping our culture. we really value our razor-sharp focus on story-driven casual games, excellent craftsmanship, and the truly collaborative way of working. we create joyful experiences that awaken our players' desire to see what happens next. based in the heart of berlin, with over 280 employees from around the world, we work together to create high-quality casual games with engaging stories at the core of the experience. at wooga, our data scientists play an instrumental role in driving the successful development of our games. the data science team explores new methodologies and delves deep into every aspect of our data to identify opportunities and make a real impact on our business. we are looking for a data enthusiast, who is passionate about games and is excited to think analytically about what makes a game great! you will work on analytics projects involving multiple team members to understand, segment, predict and influence the behavior of our players across our games portfolioyou will use experiments, advanced analytics and machine learning to find levers for product optimizationyou will contribute to building data products for our game teams, empowering them to deliver actionable insights and recommendationsyou will proactively drive improvements of and provide education on our data analytics toolsyou will get involved with our products across different teams to ensure our games are loved by more and more people, every day about you you have a degree in a highly quantitative field (e.g.statistics, economics, research, computer science)you have professional working experience in data science and business analyticsyou are proficient in using python for data analysis, and you can use sql effectively to query large volumes of datayou have a solid understanding of how data science can impact the core business and of economics in a freemium business modelyou have an understanding of commonly applied advanced statistical and machine learning techniques, and can generate ideas on how you could apply these to improve our gamesyou have worked in the games industry previously or are familiar with video games yourself. please note: research has shown that some under-represented groups in the gaming industry (eg: women) tend to apply only if they meet every single requirement. here at wooga, the desire to learn and the willingness to solve problems are more important to us than your experience on paper. we encourage you to apply even if you do not think that you tick all the boxes - thinking outside of such boxes and embracing the diversity of mindsets and backgrounds is what we believe makes our teams thrive. our promise shape the future! challenge the status quo and team up with a diverse group of experts (over 50 nationalities!) working on crafting the world's best games.located in europe's most creative city with low cost of living and high quality of life. we offer a generous relocation package and home search support if you are not already located in berlin. did we mention that we also cooperate with kindergartens?make use of a significant education budget and extra days off for self-development. join our meet-ups, talks, brown bag lunches, internal trainings, workshops and many others.enjoy the yoga, mindfulness app, sports and transport subsidies. and a purpose day to donate your time to a worthy cause!participate in the company's success - we offer a quarterly bonus scheme!did you know that german is the third most commonly taught language worldwide? learn it too! we offer german language classes for you and your significant other.choose your own equipment and be set up for success! we also provide you with a work-from-home budget, which you can invest in a well-functioning home office setup. we got your back! at wooga we are committed to providing a friendly, safe and welcoming environment for everyone who works here or with us, regardless of gender, gender identity and expression, sexual orientation, disability, physical appearance, body size, race, age, religion (or lack thereof) and game preferences. be yourself, we like you that way! by clicking ""submit application"" you acknowledge that you have read our candidate privacy policy ", 201-500 employees , Computer Games ,en,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
465," circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments, commerce and financial applications worldwide. circle platforms and products provide a suite of internet-native financial services for payments, treasury infrastructure and capital formation. circle is also a principal developer of usd coin (usdc), which has become the fastest growing dollar digital currency in the world. usdc has grown to over 53+ billion in circulation and supported over $1.9+ trillion in transactions in the past year. circle’s payments and treasury infrastructure services available through the circle account and apis helps bridge the legacy financial system and digital currency and blockchain based finance. circle’s seedinvest service brings internet-native fundraising and capital formation to startups and growth companies. combined, circle’s suite of services helps companies to participate in a more open, global and inclusive financial system. what you’ll be part of: with the mission “to raise global economic prosperity through the frictionless exchange of financial value,” circle was founded on the belief that the internet, blockchains and digital currency will rewire the global economic system, creating a fundamentally more open, inclusive, efficient and integrated world economy. we envision a global economy where people and businesses everywhere can more freely connect and transact with each other with new technologies for digital money and internet-native finance. we believe such a system can raise prosperity for people and companies everywhere. our mission is powered by the values we espouse and which we expect all circlers to respect. we are multistakeholder, serving the needs of our customers, our shareholders, our employees and families, our local communities and our world. furthermore, we are also mindful, driven by excellence, and high integrity. what you’ll be responsible for: as a data scientist, analytics at circle, you’ll work closely with product stakeholders and engineers to better understand our products and enable better decision making with data. your job will include making sure teams are focused on the biggest opportunities, defining success metrics and goals, and communicating insights throughout the company. we are a passionate team with a deeply analytical mindset, and your work will support us in our mission to be a world-class company driven by data. what you'll work on: own a domain end-to-end, understand the business problems, define and monitor key metrics, identify opportunities and drive conversations around where to invest engineering resourcesmeasure business performance, develop core metrics and create dashboards to track and understand them.identify data, metrics and analyses needs for business partners; initiate, develop and maintain data pipelines and data models that powers dashboards and data products with outstanding craftsmanship. perform deep analyses and build models to understand customer behavior, and extract key insights that impact product decisions.perform analyses and build models to understand customer behavior, extracting key insights and communicating to stakeholders to impact product decisionscommunicate the state of business, experiments results and recommendations to a broad team and senior leadershipdata collection and analysis of blockchain activity to understand trading activity, incentives, and how usdc fits in to the broader crypto ecosystem what you'll bring to circle: 3+ years of industry experience working with and analyzing large data setsexperience in data analyses using sql and at least one programming language (e.g. r, python)understanding of statistics and experience applying them to business problemsexperience planning and executing analytical projectsbe able to proactively manage prioritization of work and deliver work with great quality and influence the broader team in creating leverage.previous experience working with financial services data or crypto is a plus.experience with looker, tableau or other business intelligence platforms.domain experience in product, marketing, growth, or other business analytics, compliance, risk areas.experience manipulating large amounts of structured and unstructured data. we are an equal opportunity employer and value diversity at circle. we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. ", 201-500 employees , Financial Services ,en,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
466," do you want to help us unleash the secret to how happy employees create a happy business? we are an innovative, agile and continuously growing modern tech company on a path to improve the work lives of millions around the world. we develop workforce management solutions - a software that makes scheduling and time reporting more smooth and flexible for almost a million users across the world. are you curious and ready to take the first steps on an awesome journey and make magic happen with us? as a member of the quinyx family, you will be part of an inclusive and diverse workplace, where you are allowed to be yourself and thrive. about the role as a part of our growing analytics team, you will take part in developing tomorrow's intelligent workforce management, enabling data-driven decision-making and having a significant impact on strategic initiatives. the mission is to turn our vast amounts of data into actionable insights across the organisation and guide the development of new features. as we’re growing internationally, you will be an integral part of a company set out to enable our customers to create a happy business and a happy workforce. what you’ll be doing work closely with stakeholders across the organisation to define complex business problems and suggest the right analytical and technical solutions.with a focus on strategic business, objectives perform analysis on structured and unstructured data, predictive modelling, pattern recognition, and anomaly detection.develop and implement advanced models using state-of-the-art data technologies.communicate results, insights and recommendations throughout the organisation. what you’ll bring to the team a few years of working experience in a data scientist role or similar.deep understanding and professional experience working with advanced analytics, machine learning, ai, developing and implementing models.data science experience and programming skills in python, r, sql, spark or similar technologies with associated machine learning packages.strong analytical and creative mindset and problem-solving skills.team player with great communication and presentation skills.cloud platform experience from eg. aws or gcp data visualization tools and technologies such as superset, tableau, looker etc are a plus. what’s in it for you? we promote and encourage a healthy lifestyle with flexible work hours and the latest tools, enhanced vacation allowance, wellness, home office, professional development contributions, virtual yoga classes, and last but not least, you will have the chance to participate in our well-known yearly ping-pong tournament! life at quinyx we are an innovative, agile and continuously growing modern tech company. we value passion, creativity, quality and simplicity. you’ll be given the opportunity to make an impact and directly contribute to our success, bring new ideas and have full ownership of your area. our global team, of 30 nationalities, have fun together whether it is during a typical swedish fika, workshop, going for a run with a colleague or spending time together during the annual company goal trip, team kickoffs, or after-work socials. we have built a family atmosphere here at quinyx and are committed to sharing knowledge and supporting one another! want to join the family? at quinyx, we provide equal employment opportunities and we strive to have an inclusive and diverse value-driven culture. all applications will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, disability or veteran status. happy workforce, happy business! ", 201-500 employees , Software Development ,en,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
467," posted by izabela bekisz senior it recruiter || team coordinator || i'll help you find your place @pwc 🚀 send inmail job description & summary pwc is a powerful network of over 250.000 people across 158 countries. all committed to deliver quality in assurance, tax, advisory & technology services. match your curiosity with continuous opportunities to learn, grow and make an impact. be who you are and be a game changer. as our data scientist, you will have an unique opportunity to join the intelligent process automation / ai team to support implementation and maintenance end to end automation solutions within our clients environments that help them to achieve their business goals and do something extraordinary, that would be out of their reach without your help. you will work intimately with clients through the whole project life cycle. if: you love developing algorithms and machine learning solutions; you are eager to learn new things and like solving problems you never faced before; you want to find patterns in unstructured data; you want to work together with mathematicians, physicists; ...and if happiness of your client is your happiness, do not hesitate to join our team! you can be sure that you will never get bored and every day will be a new challenge. if you join our team you will work on various topics like: semantic analysis of documents; information extractions from documents; building intelligent assistants (voice/chatbots) based on recent language models. more technically, we expect from you: good knowledge of algebra, statistics; experience with coding in python or r (1yr+ experience) and code management skills; knowledge of how to deal with data, collect it, process and present it with application of python or r libraries (1yr+ experience); knowledge of how and when to reduce dimensions, apply regression or classification techniques (1yr+ experience); good command of the english language. it would be nice if you have understanding and experience with: neural networks, big data, sql, nosql (like graph data-bases), linux; phd will be also considered as a plus. our offer: opportunity to develop skills in statistical modelling embedded in business reality; gaining knowledge and experience in the practical use of technology centered around data science on projects carried out for companies from different sectors; dynamic, project driven work environment; excellent working conditions and a friendly working atmosphere; attractive compensation with additional benefits package. send your application today! in case you have any additional questions, contact us: pl_itrecruitment@pwc.com. pwc advisory spółka z ograniczoną odpowiedzialnością sp.k. or another pwc entity which runs a recruitment process - list of entities: https://www.pwc.com/gx/en/about/office-locations/poland.html, with its registered seat in warsaw (00-633), polna 11 street, („pwc” or “we”) will be the controller of your personal data submitted in your application for a job. your personal data will be processed for the purpose of performing a recruitment process for the job offered. if you give us explicit consent, your personal data will be also processed for participation in further recruitment processes conducted by pwc and sending notifications about job offers in pwc or job related events organized or with the participation of pwc such as career fair. a full information about processing your personal data is available in our privacy policy. "," 5,001-10,000 employees ", Business Consulting and Services ,en,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
468," do you want to help telia lithuania by driving business results with advanced analytics? are you an data professional with proven track record of successful execution of data science projects? keep on reading, you may have just found your next career step that you were looking for! we are starting a new truly data driven era in telia lithuania. we are now looking for an exceptional data scientist to join advanced analytics and data science team. our team is part of telia lithuania digital and analytics organization. in our ever-changing environment, we need teams who dare to challenge the current status quo, reduce the complexity and care for our co-workers, customers and our society. we don’t believe in rigid hierarchies, rather in people who thrive within a self-leadership culture. we set high goals for our business and for ourselves. through constant feedback and regular coaching, our leaders ensure we are on the right path. that is why we want driven and skilled people like you to join us in continuing to make our goals a reality. boost company culture of data driven decisions. your next challenge? if you want to be a key player in the forefront of establishing our capacity to become data driven business and work with one of the most innovative organization in lithuania, you are perfect for our team. our team mainly based in vilnius has the overall responsibility for providing organization with a variety of advanced analytics and data science products. you will be a key person focused on driving business value from data. you will be applying math, stats and programming skills to bring our data to life. your contribution will be central and you will have a great opportunity to influence the work that our team and organization is doing. your main goal will be to drive value from data through advanced analytics – and you will be a key player in accelerating how we grow and retain our customers. who are you? you are independent with a strong drive. still, you are a team player that appreciate an inclusive environment. you have worked in a matrix structure with conflicting priorities with great energy to move forward. it is great if you understand our industry, how we work and our products. but hey, we are here to create something completely new. your personality: curious doerbusiness mindedcollaborative simplifierdetail orientatedpassionate learner your experience: have a quantitative degree such as mathematics, statistics, econometrics, computer science or equivalent, though relevant experience also acceptablehave good theoretical knowledge of different statistical models and analytical techniquesare proficient with at least one statistical language r or python; data processing in sqleager to learn and develop technical skills – also happy to share knowledge with othersable to independently identify when you are stuck and seek support what would make you stand out? have worked on data science project in the past, you can demonstrate understanding of data science workflow and key challengers waiting along the wayhave proven experience telling stories with datayou can adapt your communication style to technical or non-technical audience your key responsibilities: work together with business to identify problems that can be solved with data and translate those questions into data science problemsdeliver data science projects working in a team or alone what will you find at our home? we believe that people thrive in a purpose driven and values-oriented culture. we build telia to be the home to your next big opportunity. you will be part of an exciting journey to shape the new generation telco and we promise to help you grow, both professionally and personally. we believe in self-leadership where you take responsibility for expressing yourself and achieving great results. it & telecommunications is not just our business, it’s our passion. you will join a winning team, to work with talented people and help create ideas and solutions for efficient business and better lives. working in this position you will receive a base gross salary in range of 1200 - 3500 eur (gross) depending on your experience, plus annual bonuses depending on your competencies and your and telia results besides for each employee telia has additional employee benefits package which includes: health insurance and pension planvarious telia and partners discounts and offersflexibility that enables work-life balanceadditional vacation dayschance to grow both personally and professionally with our internal programsopen, relaxed and fun working environment+19 000 awesome colleagues across nordic & baltics interested? if you fancy joining my team, apply for the job! if you need to know more, call me on +37060112641 or connect with me on linkedin. welcome to telia – home to your next big opportunity! "," 10,001+ employees ", Telecommunications ,en,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
469," posted by burcea andreea it recruiter at luxoft send inmail project description: luxoft is an industry-leading software integrator and solution house for automakers and automotive suppliers. there are millions of cars on the road today with solutions designed by luxoft. together with our partners, we are working on the development of modern and future technologies such as advanced driver assistance systems (adas) with highest demands in safety and reliability. for growing our business offering in the european market, we seek to expand our current collaboration with our client in france. luxoft is happy to receive applications from self-motivated and self-disciplined applicants who communicate well, like to work in teams, and are willing to travel. for the successful candidate we offer the opportunity to enhance and develop your career with the following benefits:• join highly competent and motivated international team• apply your talent into figuring the shape of future car• personal growth and promotion options• make an impact to the overall growth of luxoft for this specific role you will have the chance to do the following: • develop advanced algorithms to help make raw data more useful to the enterprise and clients• in collaboration with r&d team, research new modeling algorithms, languages, packages and solutions to enhance the productivity of the team or grow new businessesoversee the interpretation of data for the businesses• create dashboards to help communicate metrics and trends to our management• apply statistics, machine learning and analytic approaches to solve business problems• filter and ""cleaning"" data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems• end-to-end responsibility on running the data platform establishing a culture of collaboration between teams, monitoring key metrics around availability, performance, and data delivery to ensure slas are met with internal stakeholdersto write reports outlining business predictions or proposals• identify, analyze, and interpret trends or patterns in complex data sets• manage use case framing & delivery competences:• +2 years of experience as a data scientist and has background in statistics• mandatory hard skills: python, java, google cloud and bigquery• secondary hard skills: spark, hadoop, r• ability to test hypotheses from raw data sets and draw conclusions responsibilities:develop advanced algorithms to help make raw data more useful to the enterprise and clientsin collaboration with r&d team, research new modeling algorithms, languages, packages and solutions to enhance the productivity of the team or grow new businessesoversee the interpretation of data for the businessescreate dashboards to help communicate metrics and trends to our managementapply statistics, machine learning and analytic approaches to solve business problemsfilter and ""cleaning"" data by reviewing computer reports, printouts, and performance indicators to locate and correct code problemsend-to-end responsibility on running the data platform establishing a culture of collaboration between teams, monitoring key metrics around availability, performance, and data delivery to ensure slas are met with internal stakeholdersto write reports outlining business predictions or proposalsidentify, analyze, and interpret trends or patterns in complex data setsmanage use case framing & delivery competences:+2 years of experience as a data scientist and has background in statisticsmandatory hard skills: python, java, google cloud and bigquerysecondary hard skills: spark, hadoop, rability to test hypotheses from raw data sets and draw conclusions skills: must have:+2 years of experience as a data scientist and has background in statisticsmandatory hard skills: python, java, google cloud and bigqueryability to test hypotheses from raw data sets and draw conclusions nice to have:spark, hadoop, r languages:english: c1 advanced "," 10,001+ employees ", IT Services and IT Consulting ,en,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
470," job location: luxembourg company description ferrero is a family-owned company with a truly progressive and global outlook and iconic brands such as nutella®, tic tac®, ferrero rocher®, raffaello®, kinder bueno® and kinder surprise®. as the love for our brands continues to grow, so too does our global reach. represented in 55 countries, with products sold in more than 170, the ferrero group is loved by generations around the world. the secret to our global success? nearly 35,000 dedicated employees who celebrate care and quality to craft a business, careers and brands we are proud of. join us, and you could be one of them. diversity statement ferrero is committed to building a diverse and inclusive culture in which all employees feel welcomed and appreciated and have the same opportunities. we believe all of our people are equally talented in their own way. in nurturing the curiosity and natural abilities of our employees, we provide them, generation after generation, the means to succeed personally and professionally, enabling them to craft their journey at ferrero. the diversity of our talents is what makes our work environment multicultural, innovative and highly rewarding. about the role: for our ferrero headquarters in luxembourg, we are currently looking for an hr data scientist to join our hris team. main responsibilities: you will work within the tech stack that hr data science department is currently in the process of building, with a focus on the data science platform and on the visualization software powerbi, and become an expert of its key elements. in this role you will leverage hr data to create descriptive, predictive, and prescriptive models. you will be involved in different projects and collaborate with group and local hr, finance, legal and it departments. who we are looking for: profile master’s degree in math, statistics, data science or any related field;5-7 years of experience in applied work on advanced analytics, statistics or modelling preferably in the hr area; experience in big data environment and experience in ai, machine learning, natural language processes (nlp) as well as development and deployment of custom algorithms;experience in a multinational business environment is a plus;advanced statistical methods for people analytics including: linear/multiple/logistic regression analysis, structural equation modeling, etc.;business acumen, creativity, curiosity, ability to work independently but at the same time open to collaborate in the international team;ability to speak with and translate findings to business users with little/no statistical background. it skills expert use of programming and analytical languages including: sql, python, r and powerbi;work experience with sap hr, sap successfactors, sap bw and other hr tools is considered an important plus;machine learning (ml) and natural language processing (nlp) algorithms and applications;additional knowledge of informatica, nosql, hadoop, spark, databricks, hanaconda and scala will be a plus. languages fluent in english;any other language is considered a plus. how to be successful in the role and at ferrero: consumers, quality and care are at the heart of everything we do. so, to be successful at ferrero, you’ll need to be just as consumer and product centric as we are - dedicated to crafting brilliant results for consumers around the world. "," 10,001+ employees ", Manufacturing ,en,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
471," this role is accountable for development of data analysis software that will help power vodafone’s iot analytics product. it involves software development in aws to process data generated in our systems in order to create new features to help our customers better manage their iot connectivity. working as part of a small, agile product team alongside data science and platform engineers, this role will become a subject matter expert in iot data. the successful candidate will build a deep understanding of iot and the challenges of delivering connected products and services. they will deliver functionality to help simplify use of iot for our customers as part of the global industry leading iot connectivity management platform. core competencies data analysisdeep expertise in python development to process data on aws, including psysparkfamiliarity with data structures and conceptsfamiliarity with sqltelcoms expertise is a plus technical/professional qualifications expert in python development for data, processing on aws inc, psyspark, lambdaexpertise in data manipulation (use of data tools e.g, sql)exposure/interest in data and software development skills pythonspysparkawsworked in agile environmentexperience working in international team "," 10,001+ employees ", Telecommunications ,en,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
472," about us what we do with our portfolio tracker and the largest investment community in europe, we help everyone not only to manage their investments, but also make informed financial decisions. we are the largest social network for anyone interested in finance, enabling people to exchange ideas with friends, family and financial experts on topics related to investing. we believe that everyone should have access to the best financial knowledge and are proud that the biggest financial influencers trust our app. where we're going we are a multicultural team of domain experts with years of experience in hyper-growth startups, consulting, agencies, and investment banking. we share an entrepreneurial mindset and are not afraid to think big - just like our investors, who are some of the most recognized in the world. we currently operate in over 6 countries and will be expanding globally in the coming months. in order to grow quickly and sustainably, we are assembling a team of motivated and highly talented people. it is challenging and exciting. it never gets boring! are you ready to revolutionize the world of investing with us?! your mission at getquin as our data scientist you contribute to our current development process. you will establish best practices for integrating data services in our current tech infrastructure.scoping and prototyping first machine learning projects, e.g. recommendation systems for users is on your to-do list.you will develop and implement machine learning projects that are integrated into our product.one of your projects will be analyzing and improving our in-app content feed.-- your skills and qualifications ideally, you have a university degree or equivalent experience in the field of computer science, statistics, economics, etc. you were able to gain first working experience in the data field. you have excellent knowledge of common data tools.understanding complex business processes and clearly communicating solutions is no problem for you.you want to solve challenging problems and use your analytical skills. what you can expect from us looking for a challenge? we offer you an exciting job in an extremely fast growing and ambitious fintech, with the opportunity to improve the financial education of hundreds of thousands of people worldwide.take responsibility from day one! with us, you have the freedom to drive your topics forward independently and to follow a steep learning curve.a positive working environment is important for you? we are an international, highly motivated and fast growing team, where working together is a lot of fun.berlin city flair! we have a modern office in the heart of berlin with access to drinks, fresh fruit and lots of other amenities.you want to organize your working day on your own terms? a healthy mix of home office and office days is important to us - we like to be together as a team, but also understand that everyone has their own rhythm, family and lifestyle.you can plan with us financially! you will receive an unlimited contract and an appropriate salary.whoof whoof! pisco, maya and caruso are waiting for you to pet them!not convinced yet? we also have a subsidised urban sports club membership, subsidised bvg-jobticket, capital formation savings, discounts in various online shops and monthly team events waiting for you! become part of our team and help us build the financial world of tomorrow, in which everyone can participate! we look forward to talking to you! ", 11-50 employees , Financial Services ,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
473," we help the world run better our company culture is focused on helping our employees enable innovation by building breakthroughs together. how? we focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. we offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from.apply now! the development center of sap in bulgaria is technology-focused and plays a key role in the defining and developing of the sap business technology platform. with its more than 1350 professionals, sap labs bulgaria also has strong contributions towards life-cycle management, user interface & user experience across the broader portfolio of sap products. for its 22-year history, the company has established itself as a preferred employer in the it sector in bulgaria. earth commerce enables a regenerative business world with zero waste. powered by sap .io we create regenerative processes in b2b manufacturing to allow businesses to participate and thrive in the circular economy for the betterment of the planet. our cross-industry trading platform allows multiparty collaboration through our sourcing, procurement, and supply planning engines. the earth commerce ecosystem leverages business networks with innovative technology to allow collaboration across the value chain. it aggregates supply, guides purchase optimization based on sustainable cost-benefit attributes and provides visibility into inventory to meet buyers’ sustainability requirements. what you'll do we are looking for a passionate data scientists to help scale our understanding of the earth commerce user experience by modeling customer attributes and behaviors. you will have the opportunity to make a big impact on a team that is getting a lot of visibility and tackling novel challenges in sustainability, circular economy and data modeling.have direct impact on the growth of an early-stage startup an see the impact of your work work together with design, engineers and product management to deliver new and improve existing features.model the relationship between user characteristics + behaviors and key business outcomesclassify different types of users based on their characteristics and behaviorspartner with stakeholders from multiple disciplines (founders, engineering, pms, data analysts, data engineers, qualitative researchers) to clearly define the problems to be solvedcommunicate insights from your analyses to diverse audiences including non-technical and technical roles what you bring experience modeling and classifying data using machine learning techniques, including clustering techniques, using pythona degree in statistics, applied mathematics, computer science, machine learning, economics or a related fieldability to influence and build effective working relationships with all levels of the organizationexperience with communicating insights from your analyses to diverse audiences including both non-technical and technical roles, including executivesdata visualization experience meet the team earth commerce is a public cloud offering that implements an event-driven microservice architectural pattern structured with a collection of small, loosely coupled services that operate together to achieve a common goal. the new team will be focused on creating regenerative processes to enable to participate and thrive in the circular economy for the betterment of the planet. we build breakthroughs together sap innovations help more than 400,000 customers worldwide work together more efficiently and use business insight more effectively. originally known for leadership in enterprise resource planning (erp) software, sap has evolved to become a market leader in end-to-end business application software and related services for database, analytics, intelligent technologies, and experience management. as a cloud company with 200 million users and more than 100,000 employees worldwide, we are purpose-driven and future-focused, with a highly collaborative team ethic and commitment to personal development. whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves. at sap, we build breakthroughs, together. we win with inclusion sap’s culture of inclusion, focus on health and well-being, and flexible working models help ensure that everyone – regardless of background – feels included and can run at their best. at sap, we believe we are made stronger by the unique capabilities and qualities that each person brings to our company, and we invest in our employees to inspire confidence and help everyone realize their full potential. we ultimately believe in unleashing all talent and creating a better and more equitable world. sap is proud to be an equal opportunity workplace and is an affirmative action employer. we are committed to the values of equal employment opportunity and provide accessibility accommodations to applicants with physical and/or mental disabilities. if you are interested in applying for employment with sap and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to recruiting operations team: careers@sap.com. for sap employees: only permanent roles are eligible for the sap employee referral program, according to the eligibility rules set in the sap referral policy. specific conditions may apply for roles in vocational training. eoe aa m/f/vet/disability qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, ethnicity, age, gender (including pregnancy, childbirth, et al), sexual orientation, gender identity or expression, protected veteran status, or disability. successful candidates might be required to undergo a background verification with an external vendor. requisition id: 340645 | work area: software-design and development | expected travel: 0 - 10% | career status: professional | employment type: regular full time | additional locations: . "," 10,001+ employees ", Software Development ,en,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
475," we are now looking for an experienced data scientist. actually. you can call yourself data analyst, data guru, analytics enthusiast or easter bunny if you like, the thing is: we have data and you are good at data. how you will make an impact as an embedded data scientist within the digital rights management team; a core part of our business, you will be responsible for helping us understand how our music is used across the internet, and the behavior of both licensed, and unlicensed users. you will not only understand when and how our paying subscribers use our music in their content, but also how our music is used without a subscription to help us monetize that content. you will work with large amounts of data, from a range of different sources such as youtube, facebook, tiktok, etc, finding patterns and insights to help us identify business opportunities and inform our strategy. you lead and coordinate research initiatives to help build a deep understanding of our core metrics, users, and business areas. you facilitate knowledge sharing both within the team and across the analytics community and make sure our insights are democratized and accessible to relevant decision-makers. you are willing to work on a wide range of projects, supporting the team with everything from reporting and exploratory analyses, to helping to build the team strategy with your insights. in this role, you will play a key part in building the research capabilities of a growing team. you will often find yourself collaborating with other teams within the partnerships side of the domain, that includes developers from our product teams, data analysts/scientists, data engineers and machine learning engineers. you will also work closely with business managers who are in charge of building relationships with our partners. so, if you want to be part of taking our analytics capabilities to the next level, influence the company through data-driven insights, and help soundtrack the world - this is the team to join. who you areyou are driven, self-motivated, and good at forming hypotheses and investigating them proactively. you thrive working in a cross-functional team, whilst also working with a range of stakeholders across the company, and collaborating with other data analysts and scientists to drive projects and initiatives to deliver business value. we also believe you have a passion for data, tech, music and the next phase of the digital music industry. other skills we believe you have:experience in a data analyst/scientist role and a degree in science, computer science, statistics, economics, mathematics, or similar quantitative disciplineexcellent understanding of sqlfluency in python or r for data analysisexperience performing analysis on large datasetsgood understanding of cloud technologies. we use gcpgood understanding of data engineering practices and data modelingfluency in englishmerit to those with significant experience from a growing product-focused companymerit to those with experience working within the music industry ", 201-500 employees , Musicians ,en,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
476," posted by mariam ouakass talent acquisition specialist bei zf group send inmail zf wind power puts wind energy in motion! the zf wind power business unit is part of zf group which is known as one of the world’s leading automotive suppliers. within our unit we develop, validate and service gear units used in wind turbines producing sustainable energy and we have been doing this for more than 40 years! today we build new drivetrain solutions to meet the requirements of the future. as wind turbines continue to grow, we are continuously pushed outside of our engineering boundaries, which makes it a challenging engineering environment to work in.find out more: www.zf.com/windpower we are looking for a new colleague in the data analytics department at our location in antwerpen. your tasks as data scientist (m/f/d):design and develop data analytics products and services that add value for zf wind power and its customersapplication of data science methods and techniques on complex business and engineering problemstargeted communication with all stakeholders to ensure realization of analytics products and solutions in agile projectscollaboration with domain experts and interdisciplinary teams within zf wind powersupport in making zf wind power a data driven company your profile as data scientist (m/f/d):master or phd in engineering, it or analyticsprofessional experience with the python data science stack (pandas, numpy, scikit-learn, …), gitexperience with code quality standards and best practices for python developmentteam player, ability to convince and influence, creative and fast learnerfluent english (dutch and german are a plus) "," 10,001+ employees ", Motor Vehicle Manufacturing ,en,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
